"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1793.56878873947
"2","FDW14","OUT017",1613.62391888192
"3","NCN55","OUT010",1893.62715097862
"4","FDQ58","OUT017",2624.08621008281
"5","FDY38","OUT027",5177.18436956368
"6","FDH56","OUT046",1973.28914818774
"7","FDL48","OUT018",593.835767328738
"8","FDC48","OUT027",2778.73434677522
"9","FDN33","OUT045",1515.39250374043
"10","FDA36","OUT017",3124.1546737591
"11","FDT44","OUT017",2015.51867436376
"12","FDQ56","OUT045",1308.31655117322
"13","NCC54","OUT019",1867.71380724102
"14","FDU11","OUT049",1997.79669701789
"15","DRL59","OUT013",902.758270382195
"16","FDM24","OUT049",2510.20052274163
"17","FDI57","OUT045",3082.86721452852
"18","DRC12","OUT018",2770.12072557217
"19","NCM42","OUT027",3219.78696598853
"20","FDA46","OUT010",1111.63770453545
"21","FDA31","OUT013",2790.47967021874
"22","NCJ31","OUT035",3833.50926893886
"23","FDG52","OUT046",838.026977211496
"24","NCL19","OUT019",393.466085833692
"25","FDS10","OUT035",2965.69798694824
"26","FDX22","OUT010",1470.76945413394
"27","NCF19","OUT035",898.130573880617
"28","NCE06","OUT046",2602.09711847143
"29","DRC27","OUT046",3905.11197553258
"30","FDE21","OUT035",1975.46789205628
"31","NCR42","OUT019",-1336.5776157673
"32","FDX51","OUT018",2875.68763061192
"33","NCR06","OUT018",453.699057536446
"34","FDU31","OUT027",4954.56502066526
"35","FDU59","OUT017",2739.1376370592
"36","FDR03","OUT027",4763.5164373008
"37","FDS49","OUT027",2745.1374670061
"38","FDD48","OUT010",-73.6233478835138
"39","NCF18","OUT017",3167.9034440672
"40","NCD43","OUT027",3126.25244289309
"41","NCD54","OUT018",2011.27763087822
"42","FDY19","OUT010",-45.4186674753955
"43","NCY54","OUT017",2858.69898297414
"44","NCL19","OUT018",2042.60487597286
"45","FDP23","OUT010",1531.25695481866
"46","FDC26","OUT013",1805.12042822924
"47","FDR14","OUT010",-1066.70581274184
"48","NCS41","OUT035",3002.49776442047
"49","FDF41","OUT035",3984.55157471651
"50","FDU34","OUT046",2032.36633484682
"51","DRH11","OUT046",984.357535191009
"52","FDM03","OUT013",1719.26862629829
"53","FDS31","OUT017",3066.60368149576
"54","FDJ20","OUT017",2128.18800273923
"55","FDV44","OUT027",4497.4845501784
"56","FDG02","OUT049",3060.13264506391
"57","FDA09","OUT013",2926.3127982814
"58","FDT04","OUT013",659.154262625959
"59","FDL58","OUT019",2290.08017220615
"60","FDE52","OUT045",1459.47049766828
"61","FDW12","OUT035",2466.17867207784
"62","FDL51","OUT017",3588.94822942645
"63","NCY42","OUT027",3717.08666511308
"64","FDR07","OUT017",1686.53104901235
"65","FDN40","OUT045",2363.0392802032
"66","FDB35","OUT027",2958.40804095332
"67","FDA22","OUT017",2766.69885214556
"68","NCL06","OUT046",4177.74366776156
"69","FDI35","OUT013",2908.19934889824
"70","NCW42","OUT045",3438.15661560725
"71","NCX06","OUT049",2916.64213218465
"72","FDC37","OUT027",3194.8531383325
"73","FDZ14","OUT018",1738.36708353736
"74","DRG49","OUT049",3917.93345537416
"75","NCG06","OUT045",3988.50517227853
"76","DRC36","OUT045",2752.49419819027
"77","FDV21","OUT019",23.3910266941443
"78","FDB53","OUT046",2381.62234445871
"79","DRP47","OUT019",2027.64345720054
"80","FDA14","OUT013",2336.72229550899
"81","DRC24","OUT035",2534.10308776243
"82","FDW21","OUT018",1416.66486568889
"83","NCH29","OUT046",1626.73134718043
"84","FDU58","OUT013",3085.00563298829
"85","FDY27","OUT017",2970.33169080383
"86","FDV56","OUT035",1910.77898804566
"87","FDT59","OUT046",3700.81331009214
"88","FDB23","OUT046",3674.40013966914
"89","FDR49","OUT045",685.577562537961
"90","FDB03","OUT010",1892.77909143289
"91","FDN39","OUT045",2619.3621267975
"92","FDX02","OUT027",4974.78743452728
"93","FDQ16","OUT027",3185.40681359372
"94","FDU35","OUT018",1319.16818655121
"95","NCT29","OUT013",1980.9031166419
"96","FDZ27","OUT046",865.280731637378
"97","FDN57","OUT017",2375.55259482187
"98","FDA03","OUT018",2093.82634537331
"99","FDZ36","OUT045",2936.41368155215
"100","NCU05","OUT013",1345.68873516122
"101","FDT39","OUT018",2200.4797161334
"102","FDK60","OUT017",1742.07917011523
"103","FDZ25","OUT017",2888.08657019019
"104","FDG12","OUT046",2073.22156331064
"105","DRB01","OUT019",1117.09954658124
"106","NCC43","OUT027",5389.35139482069
"107","FDX13","OUT019",2026.67446539667
"108","FDM22","OUT049",984.876839967989
"109","FDJ03","OUT027",2309.68635843467
"110","FDU14","OUT018",3657.20662819623
"111","FDB33","OUT010",631.463311594233
"112","FDP27","OUT046",3045.88550095023
"113","FDO38","OUT010",-684.437974853464
"114","FDE28","OUT027",5138.7253535833
"115","FDO27","OUT035",1646.03111094233
"116","DRL23","OUT027",3184.04231318696
"117","FDS28","OUT046",1015.46802045275
"118","FDX24","OUT013",1541.16787859823
"119","FDZ02","OUT035",1711.90462201213
"120","FDL46","OUT045",1809.2278769941
"121","FDS60","OUT027",4293.13724750282
"122","NCO06","OUT017",684.848049857435
"123","FDO16","OUT035",1486.18728665865
"124","FDC60","OUT049",1497.65304291525
"125","FDA48","OUT018",3181.44671021752
"126","FDZ36","OUT027",4448.19924615537
"127","FDK27","OUT045",1889.49043809541
"128","FDW23","OUT018",374.789620698181
"129","FDM14","OUT018",1504.1804288332
"130","FDM14","OUT013",1781.92548249209
"131","FDW60","OUT018",2613.86406885991
"132","FDE21","OUT013",1907.03747370044
"133","NCM42","OUT035",1866.38212081142
"134","FDY59","OUT010",-385.2971171943
"135","DRI49","OUT049",1321.31294742753
"136","FDT28","OUT019",502.083690594277
"137","FDQ22","OUT018",398.661097016461
"138","FDR60","OUT049",1265.78625156533
"139","FDC50","OUT019",-424.087332374891
"140","FDV24","OUT013",2432.79028471868
"141","DRF48","OUT010",1068.58913245552
"142","FDQ47","OUT046",683.753605300529
"143","DRN36","OUT049",1618.51364346731
"144","NCY06","OUT035",2147.58927410229
"145","FDE52","OUT035",1606.52709032484
"146","NCB54","OUT045",1973.43438922593
"147","NCF31","OUT035",2528.37810009382
"148","FDJ08","OUT027",4436.51624376797
"149","NCC07","OUT017",1851.66161014588
"150","NCD19","OUT027",2354.93150058454
"151","FDL46","OUT049",1948.16589261793
